K|S|V
1|"d"|24
1|"a"|17
2|"d"|9
4|"b"|7
5|"d"|12
1|"east"|6
4|"d"|17
1|"west"|15
2|"b"|29
3|"d"|15
3|"c"|24
3|"east"|21
3|"d"|5
4|"b"|28
5|"a"|11
2|"east"|3
5|"west"|24
4|"d"|29
5|"b"|24
1|"d"|2
5|"b"|23
4|"a"|21
4|"b"|3
4|"west"|7
2|"d"|26
2|"east"|21
5|"b"|27
1|"c"|6
2|"b"|19
5|"east"|7
4|"b"|4
4|"c"|22
5|"a"|21
3|"b"|18
5|"b"|8
2|"c"|21
3|"west"|8
5|"east"|7
3|"east"|10
3|"d"|4
4|"west"|21
4|"west"|24
4|"b"|6
4|"c"|8
1|"east"|11
3|"c"|19
4|"east"|23
1|"b"|29
4|"east"|27
5|"d"|1
2|"east"|6
4|"a"|6
1|"c"|8
5|"d"|25
5|"d"|24
1|"b"|16
3|"b"|19
5|"east"|8
2|"b"|1
1|"b"|26
3|"d"|24
1|"east"|7
2|"a"|29
1|"c"|25
5|"d"|20
4|"east"|17
5|"east"|15
3|"west"|7
3|"west"|17
3|"b"|8
5|"d"|30
1|"a"|7
1|"c"|10
2|"d"|21
1|"east"|28
5|"c"|4
4|"a"|12
2|"b"|28
5|"a"|1
2|"west"|19
2|"west"|19
3|"west"|1
1|"c"|7
4|"c"|21
5|"b"|2
5|"b"|30
1|"east"|14
4|"a"|7
5|"d"|3
5|"a"|5
4|"a"|21
2|"west"|5
1|"b"|6
1|"west"|30
4|"d"|15
2|"a"|4
5|"west"|22
1|"a"|4
4|"d"|4
2|"b"|2
1|"east"|24
1|"d"|5
3|"west"|24
5|"d"|30
2|"b"|30
5|"west"|24
2|"a"|10
5|"b"|14
4|"c"|7
5|"a"|22
2|"d"|21
3|"east"|4
2|"c"|6
1|"a"|10
1|"east"|22
4|"west"|17
2|"c"|28
1|"east"|22
3|"b"|5
5|"c"|13
2|"a"|27
5|"b"|23
3|"c"|24
4|"a"|26
1|"b"|23
5|"east"|12
2|"west"|19
4|"a"|25
1|"b"|15
1|"b"|9
2|"d"|30
3|"east"|11
5|"c"|13
3|"b"|7
1|"c"|3
2|"a"|5
4|"a"|14
1|"c"|20
2|"d"|8
5|"d"|9
1|"b"|20
5|"a"|15
1|"d"|14
5|"a"|14
2|"b"|5
3|"east"|21
1|"c"|11
3|"b"|27
1|"b"|23
3|"a"|8
1|"a"|1
5|"c"|30
4|"d"|19
4|"c"|14
3|"east"|3
3|"d"|19
3|"c"|10
4|"b"|8
3|"d"|27
1|"b"|27
3|"d"|14
1|"a"|2
5|"a"|25
1|"east"|4
1|"b"|1
4|"east"|8
1|"d"|13
3|"a"|16
2|"d"|17
1|"east"|1
5|"a"|26
3|"d"|4
2|"east"|1
1|"c"|23
1|"d"|3
2|"east"|2
4|"d"|4
2|"a"|15
2|"c"|3
1|"c"|12
5|"c"|16
3|"b"|26
4|"b"|4
2|"a"|1
5|"d"|6
3|"east"|28
5|"west"|12
4|"d"|23
4|"east"|9
4|"a"|7
1|"east"|1
3|"b"|22
2|"east"|13
2|"d"|30
3|"d"|29
4|"d"|27
2|"a"|12
5|"a"|17
2|"b"|23
4|"a"|2
1|"c"|13
4|"d"|4
3|"c"|21
5|"a"|25
1|"a"|2
4|"east"|16
4|"a"|30
3|"a"|1
3|"east"|8
5|"east"|3
5|"west"|28
3|"east"|1
3|"b"|22
1|"c"|26
2|"a"|9
5|"east"|17
1|"east"|10
5|"d"|30
4|"east"|17
4|"west"|8
1|"b"|15
5|"d"|22
1|"d"|13
5|"east"|24
3|"a"|14
4|"a"|5
2|"d"|10
1|"d"|16
5|"c"|8
2|"b"|25
3|"d"|6
2|"west"|23
5|"west"|19
5|"c"|19
5|"a"|20
4|"a"|3
3|"b"|29
4|"west"|5
1|"b"|15
1|"east"|15
5|"b"|4
1|"d"|2
2|"west"|22
1|"west"|26
3|"a"|28
5|"a"|8
3|"west"|23
5|"east"|17
5|"east"|29
5|"d"|29
2|"a"|3
4|"a"|24
5|"east"|21
5|"c"|30
5|"a"|27
1|"east"|30
4|"c"|10
5|"b"|6
1|"d"|29
3|"east"|17
2|"east"|15
5|"c"|15
1|"east"|6
1|"a"|9
5|"a"|14
4|"c"|16
1|"b"|27
2|"d"|19
1|"c"|20
4|"a"|25
1|"b"|17
4|"west"|27
5|"c"|26
2|"east"|22
4|"east"|29
5|"b"|15
4|"east"|22
4|"west"|21
1|"c"|2
5|"c"|8
1|"c"|29
1|"east"|14
1|"c"|14
1|"d"|29
5|"west"|8
2|"d"|10
5|"east"|8
3|"west"|13
3|"a"|25
4|"east"|26
4|"b"|10
1|"east"|30
4|"west"|21
3|"east"|13
4|"east"|8
3|"east"|14
1|"c"|15
5|"c"|5
1|"d"|1
2|"east"|11
1|"d"|5
2|"c"|19
2|"west"|14
3|"east"|18
2|"a"|17
5|"b"|9
5|"d"|18
5|"b"|20
1|"d"|5
3|"d"|16
2|"east"|15
5|"east"|3
4|"a"|20
1|"a"|10
1|"b"|27
1|"east"|29
2|"c"|22
5|"west"|27
2|"b"|23
4|"a"|8
2|"d"|24
4|"a"|11
2|"b"|2
3|"c"|18
5|"a"|13
3|"west"|1
2|"c"|30
3|"c"|16
2|"c"|4
5|"a"|14
3|"west"|2
2|"west"|10
3|"a"|26
5|"d"|13
1|"d"|25
4|"west"|3
5|"b"|23
3|"east"|18
5|"east"|21
1|"east"|18
1|"d"|15
5|"b"|4
3|"a"|15
3|"d"|17
1|"b"|27
3|"east"|6
4|"west"|13
3|"east"|14
5|"west"|18
5|"b"|23
5|"d"|23
5|"east"|15
3|"east"|13
5|"c"|23
1|"c"|11
5|"c"|11
1|"a"|4
5|"b"|24
5|"west"|6
1|"west"|25
4|"c"|8
4|"west"|2
3|"a"|3
4|"a"|14
1|"b"|27
5|"east"|25
5|"d"|7
4|"c"|8
