CUSTKEY|AMOUNT
1|4
2|21
3|38
4|55
5|72
6|89
7|106
8|123
9|140
10|157
11|174
12|191
13|208
14|225
15|242
16|259
17|276
18|293
19|310
20|327
21|344
22|361
23|378
24|395
25|412
26|429
27|446
28|463
29|480
30|497
31|514
32|531
33|548
34|565
35|582
36|599
37|616
38|633
39|650
40|667
41|684
42|701
43|718
44|735
45|752
46|769
47|786
48|803
49|820
50|837
51|854
52|871
53|888
54|905
55|922
56|939
57|956
58|973
59|990
60|7
61|24
62|41
63|58
64|75
65|92
66|109
67|126
68|143
69|160
70|177
71|194
72|211
73|228
74|245
75|262
76|279
77|296
78|313
79|330
80|347
81|364
82|381
83|398
84|415
85|432
86|449
87|466
88|483
89|500
90|517
91|534
92|551
93|568
94|585
95|602
96|619
97|636
98|653
99|670
100|687
101|704
102|721
103|738
104|755
105|772
106|789
107|806
108|823
109|840
110|857
111|874
112|891
113|908
114|925
115|942
116|959
117|976
118|993
119|10
120|27
121|44
122|61
123|78
124|95
125|112
126|129
127|146
128|163
129|180
130|197
131|214
132|231
133|248
134|265
135|282
136|299
137|316
138|333
139|350
140|367
141|384
142|401
143|418
144|435
145|452
146|469
147|486
148|503
149|520
150|537
151|554
152|571
153|588
154|605
155|622
156|639
157|656
158|673
159|690
160|707
161|724
162|741
163|758
164|775
165|792
166|809
167|826
168|843
169|860
170|877
171|894
172|911
173|928
174|945
175|962
176|979
177|996
178|13
179|30
180|47
181|64
182|81
183|98
184|115
185|132
186|149
187|166
188|183
189|200
190|217
191|234
192|251
193|268
194|285
195|302
196|319
197|336
198|353
199|370
200|387
201|404
202|421
203|438
204|455
205|472
206|489
207|506
208|523
209|540
210|557
211|574
212|591
213|608
214|625
215|642
216|659
217|676
218|693
219|710
220|727
221|744
222|761
223|778
224|795
225|812
226|829
227|846
228|863
229|880
230|897
231|914
232|931
233|948
234|965
235|982
236|999
237|16
238|33
239|50
240|67
241|84
242|101
243|118
244|135
245|152
246|169
247|186
248|203
249|220
250|237
251|254
252|271
253|288
254|305
255|322
256|339
257|356
258|373
259|390
260|407
261|424
262|441
263|458
264|475
265|492
266|509
267|526
268|543
269|560
270|577
271|594
272|611
273|628
274|645
275|662
276|679
277|696
278|713
279|730
280|747
281|764
282|781
283|798
284|815
285|832
286|849
287|866
288|883
289|900
290|917
291|934
292|951
293|968
294|985
295|2
296|19
297|36
298|53
299|70
300|87
301|104
302|121
303|138
304|155
305|172
306|189
307|206
308|223
309|240
310|257
311|274
312|291
313|308
314|325
315|342
316|359
317|376
318|393
319|410
320|427
321|444
322|461
323|478
324|495
325|512
326|529
327|546
328|563
329|580
330|597
331|614
332|631
333|648
334|665
335|682
336|699
337|716
338|733
339|750
340|767
341|784
342|801
343|818
344|835
345|852
346|869
347|886
348|903
349|920
350|937
351|954
352|971
353|988
354|5
355|22
356|39
357|56
358|73
359|90
360|107
361|124
362|141
363|158
364|175
