X|S
55|"Beta7"
250|"Alpha4"
321|"Apricot3"
50|"Beta0"
425|"A0"
347|"Alpha7"
195|"Alpha2"
78|"Zebra5"
319|"Apple9"
338|"Alpha1"
392|"Ax8"
103|"Apricot7"
251|"Apple7"
277|"Zebra4"
279|"Apple8"
220|"Alpha0"
230|"Alpha6"
226|"Apple6"
16|"Apricot0"
337|"Beta8"
452|"Ax4"
251|"A2"
159|"Apricot2"
249|"A6"
291|"Ax1"
337|"A7"
292|"Zebra8"
287|"Apricot7"
259|"Ax2"
134|"Alpha6"
497|"Apricot9"
346|"Apricot9"
164|"Apple4"
302|"Alpha0"
428|"Alpha2"
414|"Apple5"
13|"A9"
194|"Ax5"
176|"Alpha6"
179|"Apple6"
126|"Alpha3"
303|"Beta4"
444|"Alpha1"
172|"Apple1"
275|"Beta0"
235|"Apple0"
290|"A6"
136|"Zebra6"
301|"Alpha7"
193|"Alpha5"
165|"Zebra6"
413|"Zebra1"
353|"Apricot1"
172|"A3"
415|"Apricot8"
85|"Ax5"
186|"Zebra4"
254|"Apricot3"
430|"A1"
109|"Ax8"
24|"Apple4"
205|"Apple9"
319|"Ax3"
367|"A1"
48|"Ax9"
139|"Zebra5"
410|"Alpha9"
218|"Zebra7"
407|"Beta5"
258|"Alpha4"
221|"Ax4"
160|"A8"
205|"Beta6"
263|"Apple9"
92|"Apricot8"
441|"Alpha8"
255|"Beta9"
137|"Beta7"
414|"A8"
478|"Zebra6"
267|"Zebra0"
236|"Beta5"
77|"Beta3"
432|"A4"
163|"Apricot6"
324|"Ax1"
136|"Beta6"
330|"Ax4"
351|"Beta4"
207|"Zebra3"
76|"Beta1"
125|"Beta0"
237|"Ax4"
223|"Apricot8"
103|"Apricot0"
69|"Beta4"
404|"Alpha4"
337|"Ax4"
329|"Zebra2"
493|"Ax0"
400|"A7"
440|"Alpha0"
308|"Alpha5"
461|"Apple1"
343|"Apricot5"
203|"A1"
120|"Ax2"
376|"Alpha9"
267|"Zebra1"
486|"A9"
128|"Ax8"
121|"Apricot1"
395|"Zebra1"
168|"Ax5"
377|"Ax9"
478|"Apricot3"
73|"Apricot3"
109|"Alpha2"
209|"Apple7"
28|"Apple9"
191|"Apricot8"
162|"A1"
243|"Zebra6"
493|"A3"
185|"Apple2"
420|"Apricot5"
330|"Apple0"
430|"Zebra0"
353|"A0"
129|"Ax3"
158|"Zebra6"
462|"A5"
273|"Ax1"
439|"Ax3"
4|"Apricot6"
154|"Apricot4"
152|"Alpha3"
468|"Beta2"
450|"Apricot5"
404|"Ax6"
443|"Alpha4"
241|"Alpha7"
474|"A6"
367|"Ax5"
422|"Apricot1"
259|"Beta4"
215|"Alpha5"
377|"Zebra8"
355|"Apple7"
328|"Alpha0"
322|"A2"
1|"Apricot2"
321|"Apricot3"
294|"Apple5"
80|"Alpha1"
365|"Beta8"
433|"Ax2"
405|"Zebra6"
244|"Apple7"
133|"Ax2"
423|"Beta9"
101|"Apple4"
188|"Alpha6"
448|"Beta6"
114|"Apricot9"
472|"Alpha0"
320|"Zebra9"
498|"Beta1"
134|"Apricot3"
25|"A2"
219|"Apricot9"
76|"Zebra4"
87|"Alpha5"
7|"Zebra1"
222|"A8"
423|"Ax7"
60|"A7"
97|"Beta3"
147|"Ax4"
195|"A7"
438|"Beta6"
110|"Beta9"
372|"Ax4"
214|"A3"
405|"Beta6"
148|"Beta0"
316|"Apple3"
189|"Apricot3"
43|"Zebra7"
68|"Alpha7"
498|"Ax5"
351|"A6"
362|"Beta6"
131|"Apricot9"
285|"Alpha1"
170|"Alpha0"
465|"Beta7"
480|"Apple9"
363|"A9"
2|"A0"
317|"Apple8"
500|"Apricot4"
67|"Apricot5"
297|"Zebra0"
86|"Beta4"
476|"Zebra7"
67|"Apple7"
363|"Alpha5"
72|"Zebra6"
160|"Apple1"
255|"Alpha2"
382|"Ax4"
144|"Apple6"
424|"Apple9"
264|"Ax4"
457|"Apple6"
377|"Beta5"
284|"Apricot2"
27|"Ax7"
27|"Beta2"
18|"Beta2"
83|"Apricot4"
223|"A7"
20|"Alpha7"
363|"Apricot5"
