X|Y
114|10
759|0
250|4
142|3
692|1
89|8
432|9
30|0
223|1
517|3
27|9
203|8
718|10
429|8
459|3
284|9
777|0
714|2
348|6
159|4
980|3
104|5
389|1
367|1
618|5
826|4
747|0
549|7
996|1
80|6
300|8
633|10
591|5
721|3
46|1
233|10
81|4
887|3
389|1
464|4
854|10
166|5
363|5
686|3
718|4
663|10
623|1
175|10
746|8
167|3
388|7
947|4
704|10
224|8
332|10
234|0
824|0
410|5
67|4
935|3
897|9
217|5
511|10
905|6
469|10
271|2
252|2
551|8
764|4
438|9
408|9
224|5
521|2
93|7
881|0
156|1
163|10
432|10
65|9
390|6
479|9
257|8
881|8
696|0
698|1
768|8
787|4
348|10
300|1
161|6
3|7
995|4
780|8
519|2
891|1
305|10
519|10
203|9
382|2
552|2
940|8
613|0
500|5
114|0
899|5
245|4
246|0
969|9
87|1
835|7
778|1
784|8
131|2
486|10
169|8
540|4
433|9
951|3
773|8
730|3
408|4
665|10
448|5
462|8
253|1
65|3
21|5
567|9
602|3
7|3
724|1
60|10
69|3
880|0
72|5
243|8
685|4
219|7
135|8
590|9
248|7
826|7
194|6
99|1
441|10
433|5
478|6
689|0
661|10
62|1
745|6
819|5
254|1
194|3
459|8
432|2
285|2
255|7
453|1
100|8
667|0
856|8
992|0
948|1
170|3
497|6
218|7
924|6
168|0
2|6
271|6
292|7
713|6
677|8
158|7
303|3
991|3
593|0
62|8
58|5
598|0
514|7
161|8
983|0
82|8
70|2
69|9
882|10
413|3
964|1
252|9
608|9
634|0
429|1
597|10
535|9
957|5
209|4
733|10
244|5
405|4
687|2
307|10
323|7
9|1
636|7
102|9
550|1
518|3
135|4
902|5
900|1
378|3
161|4
853|7
720|8
626|4
541|10
683|0
306|8
106|10
270|2
911|1
760|1
159|8
288|4
215|9
208|5
649|10
517|4
257|7
94|0
433|10
45|4
341|0
652|2
165|4
564|7
574|6
114|0
967|1
558|2
854|0
596|5
151|8
130|6
315|0
920|5
920|0
215|5
255|10
105|10
798|5
905|8
997|6
767|9
947|2
885|3
999|2
902|2
25|6
754|2
801|5
821|6
884|10
273|3
806|2
391|1
879|0
227|7
836|3
358|7
840|4
228|3
675|0
408|3
285|5
990|1
359|4
521|10
695|6
339|8
118|0
182|4
985|9
39|4
610|1
353|6
446|5
523|9
394|1
194|9
45|4
1|6
947|8
703|8
201|10
441|5
971|1
942|10
638|5
679|5
737|1
519|4
682|4
334|6
713|6
567|4
196|2
680|6
693|6
630|2
308|9
561|6
311|0
215|4
804|6
621|9
329|10
452|7
691|7
523|3
812|7
674|2
290|1
679|8
634|10
95|5
688|3
230|4
150|3
47|0
486|3
870|9
466|1
907|6
589|10
735|3
506|6
249|6
671|2
914|0
797|1
224|6
823|2
475|8
570|0
939|3
467|1
820|2
683|7
572|8
324|9
627|7
436|8
456|8
761|2
460|7
769|4
860|3
283|10
496|8
244|10
450|4
730|1
240|4
343|4
914|5
82|8
154|2
392|3
723|2
65|3
417|6
555|5
425|7
211|0
398|6
968|9
877|0
389|9
6|7
305|5
873|6
551|6
819|8
919|9
499|3
279|3
497|6
398|0
684|5
817|10
741|6
860|2
941|7
637|2
27|8
606|6
678|9
85|0
438|10
887|2
186|7
266|0
335|6
465|3
345|5
284|6
258|6
481|1
767|0
53|8
229|5
70|10
41|10
972|0
204|3
636|0
244|2
484|2
117|10
970|9
476|3
785|4
171|5
621|9
796|1
987|2
110|4
26|9
589|4
929|10
406|6
77|3
707|9
248|10
713|1
870|4
614|10
815|1
801|9
355|0
438|8
379|10
518|1
349|10
869|0
842|6
108|7
983|6
650|5
724|7
445|2
751|2
988|8
276|10
827|9
793|8
476|7
845|6
274|9
872|5
850|3
285|1
249|7
583|7
684|9
344|6
506|0
186|5
217|7
816|5
348|4
901|4
718|9
569|4
529|0
87|3
737|3
500|6
776|8
707|3
661|7
458|7
95|0
226|4
708|6
313|3
595|10
484|5
543|8
435|5
338|8
719|5
277|7
257|4
123|3
323|3
760|1
973|8
196|2
756|3
283|7
1000|9
611|8
102|4
303|3
369|3
309|2
725|0
129|8
46|4
566|0
714|4
653|2
105|7
587|0
480|4
451|7
188|5
258|0
116|7
410|1
75|7
644|9
54|10
152|2
971|9
87|4
121|3
782|8
620|6
809|9
231|9
389|8
930|7
304|7
439|9
582|4
61|9
983|9
970|1
640|3
270|3
83|10
245|2
565|2
160|1
418|0
705|7
481|9
33|4
295|3
719|4
72|7
239|10
806|4
603|10
823|10
435|3
557|1
663|3
930|2
846|4
73|2
169|0
609|4
943|9
449|4
479|1
716|4
965|6
512|4
505|8
82|7
40|9
752|6
618|5
26|4
234|1
856|10
601|9
783|0
841|10
590|4
781|0
481|2
667|8
938|7
185|4
446|9
833|10
992|7
481|1
418|5
328|5
107|10
337|2
710|6
295|7
967|10
833|6
37|8
90|7
258|5
118|5
885|6
844|8
673|0
473|8
55|6
530|3
637|5
640|7
778|7
208|0
562|4
949|2
448|4
124|7
996|0
623|10
726|3
318|2
14|8
417|8
230|1
472|1
663|1
510|2
521|4
425|4
483|7
467|3
148|8
195|6
520|9
884|2
282|1
348|6
273|8
289|0
857|4
593|9
501|10
457|2
495|8
340|5
781|8
386|8
955|7
890|5
714|3
585|3
239|6
44|6
762|5
722|7
395|6
811|10
155|10
987|7
129|0
988|8
339|9
895|1
102|7
932|8
15|7
419|2
993|10
76|2
800|7
346|4
709|9
665|6
872|1
872|5
879|10
389|8
641|5
893|7
36|8
70|9
646|3
943|10
232|4
444|1
778|1
720|10
454|1
710|2
925|4
47|0
815|5
300|0
383|5
149|6
543|3
579|6
811|10
174|2
80|2
891|9
634|6
246|10
934|7
146|9
472|3
260|10
261|7
9|10
922|7
693|4
161|8
452|1
601|5
654|4
706|6
467|4
203|4
873|6
109|7
390|3
367|9
302|9
22|4
405|10
8|4
885|9
796|10
932|0
763|9
852|7
794|4
621|3
224|5
194|10
256|9
773|10
697|10
643|2
925|1
661|10
316|0
34|7
373|9
92|2
334|4
179|6
135|3
897|8
543|5
